Title,Description,"Gift Type (1 = GIFT, 2 = VOUCHER)",Point,Image URL
"Orient Electric 1200 mm Pacific Air DÈco| Decorative ceiling fan | Powerful airflow| BEE Star Rated | 2-year warranty | Ivory Gold, pack of 1","Orient Electric 1200 mm Pacific Air DÈco| Decorative ceiling fan | Powerful airflow| BEE Star Rated | 2-year warranty | Ivory Gold, pack of 1",1,5040,https://m.media-amazon.com/images/I/21CFeOtKCCL._SY300_SX300_QL70_FMwebp_.jpg
"Samsung 223 L, 3 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR24D2Z23CU/NL, Camellia Blue, Base Stand Drawer)","Samsung 223 L, 3 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR24D2Z23CU/NL, Camellia Blue, Base Stand Drawer)",1,53170,https://m.media-amazon.com/images/I/41TVwEZDApL._SY445_SX342_QL70_FMwebp_.jpg
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | 5500 mAh Battery, 80W SUPERVOOC and Reverse Charging | 50MP Camera with OIS | 120Hz AMOLED Display","OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | 5500 mAh Battery, 80W SUPERVOOC and Reverse Charging | 50MP Camera with OIS | 120Hz AMOLED Display",1,47590,https://m.media-amazon.com/images/I/31hcJbP0BuL._SY300_SX300_QL70_FMwebp_.jpg
"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/DOS/Black/1Y Onsite/1.7 kg), 82QYA00HIN","Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/DOS/Black/1Y Onsite/1.7 kg), 82QYA00HIN",1,67120,https://m.media-amazon.com/images/I/31eri+QNlmL._SX300_SY300_QL70_FMwebp_.jpg
"OnePlus 13R | Smarter with OnePlus AI | Lifetime Display Warranty (12GB RAM, 256GB Storage Nebula Noir)","OnePlus 13R | Smarter with OnePlus AI | Lifetime Display Warranty (12GB RAM, 256GB Storage Nebula Noir)",1,120400,https://m.media-amazon.com/images/I/61muVCIy-uL._SX569_.jpg
"PHILIPS Digital Airfryer with Touch Panel, 4.1L, with RapidAir Technology,with additional 1 Yr Warranty by Philips, 7 Pre-set Menu (HD9252/90)(Black), Large","PHILIPS Digital Airfryer with Touch Panel, 4.1L, with RapidAir Technology,with additional 1 Yr Warranty by Philips, 7 Pre-set Menu (HD9252/90)(Black), Large",1,21000,https://m.media-amazon.com/images/I/31PPBvB-EyL._SY300_SX300_QL70_FMwebp_.jpg
"Sumeet Stainless Steel Copper Bottom Belly Shape 2 Pc Tope/Cookware/Pot Set with Lid 1.4 liter , 1.75 liter (Silver)","Sumeet Stainless Steel Copper Bottom Belly Shape 2 Pc Tope/Cookware/Pot Set with Lid 1.4 liter , 1.75 liter (Silver)",1,3370,https://m.media-amazon.com/images/I/31xoseA9haL._SY300_SX300_QL70_FMwebp_.jpg
"Safari Pentagon Neo 8 Wheels 55Cm Cabin Trolley Bag Hard Case Polypropylene, 360 Degree Wheeling Carry on Luggage, Travel Bag, Suitcase for Travel, Trolley Bags for Travel, Sage Green","Safari Pentagon Neo 8 Wheels 55Cm Cabin Trolley Bag Hard Case Polypropylene, 360 Degree Wheeling Carry on Luggage, Travel Bag, Suitcase for Travel, Trolley Bags for Travel, Sage Green",1,4480,https://m.media-amazon.com/images/I/61W2CsmN1fL._SX522_.jpg
"iQOO Z10x 5G (Ultramarine, 6GB RAM, 128GB Storage) | 6500 mAh Large Capacity Battery | Dimensity 7300 Processor | Military-Grade Durability","iQOO Z10x 5G (Ultramarine, 6GB RAM, 128GB Storage) | 6500 mAh Large Capacity Battery | Dimensity 7300 Processor | Military-Grade Durability",1,37790,https://m.media-amazon.com/images/I/61oa+zoqwmL._SX569_.jpg
"Fastrack Limitless Glide X 1.83"" Smart Watch with Ultra UV HD Display, SpO2, Heart Rate & Sleep Tracking, Bluetooth Calling, 100+ Sports Modes, 5-Day Battery, Smartwatch for Men & Women (Blue)","Fastrack Limitless Glide X 1.83"" Smart Watch with Ultra UV HD Display, SpO2, Heart Rate & Sleep Tracking, Bluetooth Calling, 100+ Sports Modes, 5-Day Battery, Smartwatch for Men & Women (Blue)",1,4310,https://m.media-amazon.com/images/I/415-RjwnWOL._SY300_SX300_QL70_FMwebp_.jpg
