Title,Description,"Gift Type (1 = GIFT, 2 = VOUCHER)",Point,Image_Name,Category_Name
Kenstar Cooler Kenstar LITTLE HC 20,NA,1,12062,NC168.jpg,Home Appliances
HP Printer Smart Tank 585 All-in-One ,NA,1,32400,NC169.jpg,Electronics
Faber GALAXY PRO RO Water Purifier 7L,NA,1,17434,NC170.jpg,Kitchen Appliances
Apple iPhone 15 128GB (Based on colour availability),NA,1,120686,NC171.jpg,Electronics
Apple iPhone 16 128GB (Based on colour availability),NA,1,141172,NC172.jpg,Electronics
Sapphire Dinner Set Sapphire 24 Pcs Dinner Set SS,NA,1,5158,NC173.jpg,Kitchen Appliances
Lifelong Bicycle 26T Cycle for Men & Women LLBC2604,NA,1,14124,NC175.jpg,Lifestyle
Godrej Safe Security Solutions NX Pro 8 L ,NA,1,20292,NC176.jpg,Home Appliances
"LG Dishwasher TrueSteam™, 14 Place Setting, QuadWash™, ThinQ™",NA,1,110092,NC177.jpg,Home Appliances
Glen Chimney Glen Cooker Hood 6058 BL ,NA,1,24576,NC178.jpg,Kitchen Appliances
Glen Food Processer SA 4052 ,NA,1,14698,NC179.jpg,Kitchen Appliances
Amazon Alexa Amazon Amazon Echo Pop,NA,1,8744,NC180.jpg,Gadgets
Saregama caravan Mini Hindi 2.0 ,NA,1,4820,NC181.jpg,Gadgets
Lifelong  Digital Wieghing Scale Rajasthan Urban LLWS63,NA,1,1120,NC166.jpg,Gadgets
Kenstar Cooler Kenstar LITTLE HC 20,NA,1,12062,NC168.jpg,Home Appliances
Welspun Double Bedsheet ,NA,1,2150,NC185.jpg,Home Appliances
Godrej Safe Security Solutions NX Pro 8 L ,NA,1,20292,NC176.jpg,Home Appliances
Sony DSLR vlog camera,NA,1,124478,NC187.jpg,Gadgets
Samsung Laptop Galaxy book 4 Laptop Core 5 8/512 GB,NA,1,112560,NC188.jpg,Electronics
Bajaj Immersion Heater 1KW 25,NA,1,1428,NC189.jpg,Home Appliances
American Tourister Trolley Bags Sprint 75 CMS ,NA,1,11548,NC009.jpg,Lifestyle
Lifelong Rechargeable Water Teeth Flosser Cordless LLDC36 ,NA,1,3476,NC165.jpg,Lifestyle
Samsung Galaxy A06 4GB RAM/64 GB,NA,1,23064,NC192.jpg,Electronics
Samsung Galaxy A17 6/128,NA,1,42154,NC193.jpg,Electronics
Lifelong  Almirah LLHSL08 Home Safe Locker,NA,1,30158,NC194.jpg,Lifestyle
Bosch Professional All-in-One Hand Tool Kit 108 Pieces,NA,1,7824,NC195.jpg,Lifestyle
Samsung 4K UHD Smart TV (109cm),NA,1,71662,NC196.jpg,Electronics
Samsung Semiautomatic Washing Machine 7 KG to 8 KG ,NA,1,32512,NC197.jpg,Home Appliances
Samsung 183 Ltr 3 Star Single Door Refrigerator,NA,1,41142,NC198.jpg,Home Appliances
Samsung AC 1.5 Ton 5 Star Split AR50H18D15HNNA,NA,1,107180,NC199.jpg,Home Appliances
Samsung AC 1.5 Ton 3 Star Split AR50H18D13HNNA,NA,1,80832,NC200.jpg,Home Appliances
"Samsung TV 55"" 4K UHD Smart TV UA55U8100FULXL",NA,1,103650,NC201.jpg,Electronics
"Samsung Microwave 23 Ltr MG23A3515AK/TL, 23L",NA,1,21750,NC202.jpg,Home Appliances
Samsung Microwave 28 Ltr  MC28A5145VK/TL,NA,1,38454,NC203.jpg,Home Appliances
Samsung Microwave 35 Ltr  MC32A7035CT/TL,NA,1,40876,NC204.jpg,Home Appliances
Samsung 32 inch TV UA32H4510FUXXL / UA32H4570FUXXL,NA,1,37680,NC205.jpg,Electronics
Samsung Full Automatic Washing machine 7.5 kg Front Load,NA,1,80406,NC206.jpg,Home Appliances
Samsung full Automatic Washing machine 7.5 kg Top Load ,NA,1,56112,NC207.jpg,Home Appliances
Samsung AC 1 Ton 5 Star Split AR50H12D1ZHNNA,NA,1,83300,NC208.jpg,Home Appliances
Samsung AC 1 Ton 3 Star Split AR50H12D1LHNNA,NA,1,72984,NC209.jpg,Home Appliances
Samsung AC 2 Ton 3 Star Split AR50H24D1XHNNA,NA,1,113794,NC210.jpg,Home Appliances
Samsung Double Door Ref. 2 Star,NA,1,67110,NC211.jpg,Home Appliances
